City,Sustainability,People,Planet,Profit,QoL,,
Hong Kong,0.653,0.805,0.555,0.600,0.693,,
Zurich,0.65,0.526,0.753,0.671,0.991,,
Paris,0.645,0.655,0.670,0.608,0.831,,
Seoul,0.644,0.696,0.722,0.513,0.658,,
Prague,0.643,0.614,0.654,0.662,0.701,,
Vienna,0.637,0.585,0.753,0.572,0.996,,
London,0.636,0.642,0.753,0.515,0.823,,
Singapore,0.627,0.647,0.691,0.542,0.892,,
Stockholm,0.627,0.632,0.779,0.470,0.900,,
Frankfurt,0.618,0.612,0.877,0.366,0.970,,
Amsterdam,0.618,0.581,0.766,0.505,0.948,,
Copenhagen,0.61,0.584,0.749,0.498,0.961,,
Tokyo,0.609,0.719,0.668,0.441,0.784,,
Munich,0.595,0.567,0.789,0.428,0.987,,
Lyon,0.589,0.536,0.666,0.565,0.827,,
Beijing,0.585,0.694,0.527,0.532,0.485,,
Edinburgh,0.577,0.607,0.660,0.463,0.801,,
Milan,0.573,0.571,0.695,0.452,0.818,,
Shenzhen,0.572,0.536,0.642,0.537,0.437,,
Hamburg,0.569,0.546,0.718,0.444,0.918,,
Barcelona,0.569,0.684,0.609,0.413,0.814,,
Berlin,0.567,0.552,0.787,0.363,0.944,,
New York,0.567,0.758,0.611,0.331,0.805,,
Madrid,0.566,0.655,0.703,0.339,0.788,,
Rotterdam,0.563,0.613,0.644,0.433,#N/A,,
San Francisco,0.555,0.626,0.540,0.498,0.870,,
Shanghai,0.549,0.609,0.532,0.506,0.554,,
Vancouver,0.548,0.472,0.600,0.572,0.978,,
Warsaw,0.545,0.523,0.491,0.621,0.645,,
Taipei,0.541,0.597,0.600,0.427,0.636,,
Geneva,0.533,0.441,0.642,0.516,0.965,,
Lisbon,0.533,0.490,0.683,0.427,0.835,,
Guangzhou,0.532,0.534,0.590,0.473,0.485,,
Chennai,0.532,0.487,0.548,0.561,0.346,,
Manchester,0.53,0.569,0.590,0.432,#N/A,,
Montreal,0.526,0.496,0.635,0.446,0.909,,
Brussels,0.52,0.522,0.636,0.402,0.883,,
Birmingham,0.518,0.467,0.610,0.477,0.784,,
Macau,0.513,0.536,0.568,0.435,#N/A,,
Rome,0.508,0.492,0.689,0.343,0.753,,
Athens,0.508,0.471,0.480,0.573,0.628,,
Washington DC,0.506,0.506,0.609,0.403,0.792,,
Bristol,0.504,0.445,0.662,0.405,#N/A,,
Dublin,0.503,0.550,0.618,0.342,0.853,,
Antwerp,0.502,0.365,0.740,0.401,#N/A,,
Boston,0.5,0.501,0.597,0.403,0.848,,
Sao Paulo,0.487,0.573,0.652,0.236,0.472,,
Brisbane,0.477,0.420,0.568,0.443,0.840,,
Chicago,0.477,0.592,0.518,0.322,0.797,,
Chengdu,0.474,0.398,0.528,0.497,0.424,,
Sydney,0.473,0.517,0.528,0.374,0.957,,
Miami,0.47,0.367,0.591,0.451,0.723,,
Canberra,0.464,0.352,0.552,0.488,0.870,,
Toronto,0.461,0.439,0.625,0.319,0.931,,
Melbourne,0.459,0.515,0.476,0.386,0.931,,
Bengaluru,0.455,0.467,0.500,0.398,0.355,,
Philadelphia,0.454,0.425,0.606,0.332,0.784,,
Moscow,0.453,0.568,0.468,0.323,0.277,,
Leeds,0.449,0.340,0.625,0.382,#N/A,,
New Delhi,0.445,0.530,0.476,0.330,0.299,,
Baltimore,0.443,0.318,0.648,0.363,#N/A,,
Manila,0.442,0.566,0.327,0.432,0.407,,
Rio de Janeiro,0.439,0.601,0.556,0.160,0.489,,
Santiago,0.433,0.577,0.435,0.288,0.602,,
San Diego,0.43,0.329,0.623,0.339,#N/A,,
Cape Town,0.43,0.363,0.522,0.403,0.593,,
Mexico City,0.429,0.584,0.426,0.279,0.442,,
Wuhan,0.428,0.356,0.517,0.410,#N/A,,
Tianjin,0.424,0.436,0.446,0.389,#N/A,,
Istanbul,0.421,0.585,0.357,0.321,0.420,,
Los Angeles,0.419,0.465,0.522,0.271,0.723,,
New Orleans,0.417,0.269,0.619,0.364,#N/A,,
Seattle,0.415,0.387,0.564,0.292,0.810,,
Mumbai,0.412,0.532,0.380,0.326,0.333,,
Buenos Aires,0.407,0.450,0.457,0.315,0.606,,
Pittsburgh,0.407,0.307,0.524,0.390,0.762,,
Atlanta,0.404,0.386,0.460,0.365,0.727,,
Dallas,0.391,0.304,0.554,0.314,0.732,,
Denver,0.391,0.265,0.556,0.350,#N/A,,
Detroit,0.383,0.243,0.538,0.367,0.693,,
Kolkata,0.379,0.410,0.363,0.363,0.307,,
Johannesburg,0.375,0.266,0.487,0.373,0.589,,
Tampa,0.375,0.262,0.541,0.321,#N/A,,
Houston,0.371,0.238,0.524,0.353,0.723,,
Perth,0.37,0.381,0.404,0.325,0.909,,
Indianapolis,0.367,0.236,0.572,0.293,#N/A,,
Jakarta,0.367,0.463,0.301,0.335,0.385,,
Lima,0.366,0.537,0.296,0.266,0.463,,
Bangkok,0.354,0.531,0.345,0.186,0.429,,
Cairo,0.314,0.345,0.223,0.374,0.229,,
Kuala Lumpur,0.313,0.337,0.306,0.295,0.632,,
Hanoi,0.307,0.249,0.344,0.330,0.329,,
