City,QoL,GHG,Green_Space,Congestion_Delays,Bikes,Air_Pollution,Transport_Emission_Effort,Electric_Vehicle
Hong Kong,0.693,0.885,0.849,0.421,0.163,0.5,0.427,0.5
Zurich,0.991,0.73,1,0.637,0.599,1,0.504,1
Paris,0.831,0.649,0.191,0.374,0.654,1,0.954,1
Seoul,0.658,0.908,0.56,0.627,0.654,1,0.6,1
Prague,0.701,0.779,0.956,0.61,0.163,0.25,0.954,0.25
Vienna,0.996,0.689,0.967,0.539,0.654,1,0.654,1
London,0.823,0.73,0.698,0.327,0.654,1,0.954,1
Singapore,0.892,0.82,0.991,0.468,0.327,1,0.496,1
Stockholm,0.900,0.685,0.849,0.61,0.872,1,0.654,1
Frankfurt,0.970,0.781,1,0.61,0.981,1,0.954,1
Amsterdam,0.948,0.787,0.267,0.751,1,1,0.654,1
Copenhagen,0.961,0.711,0.31,0.728,0.981,1,0.654,1
Tokyo,0.784,0.868,0.122,0.428,0.381,1,0.961,1
Munich,0.987,0.781,0.31,0.563,0.981,1,0.954,1
Lyon,0.827,0.737,0.31,0.586,0.654,1,0.504,1
Beijing,0.485,0.891,0.191,0.185,0.763,1,0.427,1
Edinburgh,0.801,0.765,0.331,0.901,0.163,1,0.504,1
Milan,0.818,0.74,0.31,0.563,0.654,1,0.804,1
Shenzhen,0.437,0.939,0.956,0.232,0.599,1,0.277,1
Hamburg,0.918,0.945,0.374,0.492,0.981,1,0.354,1
Barcelona,0.814,0.758,0.094,0.539,0.654,1,0.354,1
Berlin,0.944,0.773,0.297,0.586,0.981,1,0.954,1
New York,0.805,0.526,0.411,0.445,0.654,1,0.4,1
Madrid,0.788,0.767,0.422,0.681,0.654,1,0.504,1
Rotterdam,#N/A,0,0.525,0.676,0.599,1,0.954,1
San Francisco,0.870,0.368,0.355,0.35,0.49,1,0.4,1
Shanghai,0.554,0.869,0.105,0.303,0.763,1,0.277,1
Vancouver,0.978,0.785,0.239,0.35,0.49,1,0.4,1
Warsaw,0.645,0.844,0.353,0.398,0.654,0,0.354,0
Taipei,0.636,0.949,0.093,0.327,0.654,0.5,0.742,0.5
Geneva,0.965,0.75,0.375,0.853,0.763,0.5,0.354,0.5
Lisbon,0.835,0.548,0.202,0.627,0.49,1,0.954,1
Guangzhou,0.485,0.876,0.723,0.232,0.599,1,0.277,1
Chennai,0.346,0.982,0.03,0.414,0.654,0.75,0.338,0.75
Manchester,#N/A,0.707,0.525,0.374,0.163,1,0.504,1
Montreal,0.909,0.554,0.385,0.586,0.654,1,0.4,1
Brussels,0.883,0.821,0.392,0.374,0.763,0.75,0.504,0.75
Birmingham,0.784,0.765,0.268,0.657,0.163,1,0.504,1
Macau,#N/A,0.939,0.2,1,0.109,1,0.277,1
Rome,0.753,0.815,0.737,0.327,0.163,1,0.954,1
Athens,0.628,0.762,0.073,0.398,0.163,0.5,0.654,0.5
Washington DC,0.792,0.391,0.405,0.586,0.654,1,0.4,1
Bristol,#N/A,0.67,0.655,0.782,0.163,1,0.504,1
Dublin,0.853,0.483,0.418,0.575,0.49,1,0.504,1
Antwerp,#N/A,0.705,0.31,0.563,0.763,1,0.954,1
Boston,0.848,0.323,0.338,0.61,0.654,1,0.4,1
Sao Paulo,0.472,0.914,0.846,0.563,0.654,0.5,0.338,0.5
Brisbane,0.840,0.53,1,0.61,0.654,0,0.346,0
Chicago,0.797,0,0.163,0.657,0.654,1,0.4,1
Chengdu,0.424,0.939,0.375,0.162,0.763,1,0.338,1
Sydney,0.957,0.962,0.978,0.35,0.163,0,0.346,0
Miami,0.723,0.486,0.122,0.563,0.654,1,0.4,1
Canberra,0.870,0.438,1,0.847,0.163,0.25,0.346,0.25
Toronto,0.931,0.603,0.26,0.563,0.654,1,0.4,1
Melbourne,0.931,0.794,0.18,0.492,0.327,0.25,0.346,0.25
Bengaluru,0.355,1,0.871,0.27,0.163,0.75,0.338,0.75
Philadelphia,0.784,0.374,0.258,0.728,0.654,1,0.4,1
Moscow,0.277,0.912,0.226,0.232,0,0.75,0.346,0.75
Leeds,#N/A,0.765,0.418,0.657,0.163,1,0.504,1
New Delhi,0.299,0.988,0.462,0.256,0.163,1,0.338,1
Baltimore,#N/A,0.857,0.191,0.822,0.327,1,0.4,1
Manila,0.407,0.935,0.163,0.16,0,0,0.338,0
Rio de Janeiro,0.489,0.941,0.642,0.162,0.654,0.5,0.338,0.5
Santiago,0.602,0.821,0.011,0.256,0.654,0,0.638,0
San Diego,#N/A,0.502,0.488,0.633,0.49,1,0.4,1
Cape Town,0.593,0.91,0.908,0.445,0.163,0.5,0,0.5
Mexico City,0.442,0.836,0.344,0,0.654,0,0.4,0
Wuhan,#N/A,0.936,0.031,0.445,0.763,1,0.277,1
Tianjin,#N/A,0.939,0.375,0.303,0.109,1,0.277,1
Istanbul,0.420,0.901,0.034,0.114,0.163,0.25,0.338,0.25
Los Angeles,0.723,0.559,0.157,0.209,0.49,1,0.4,1
New Orleans,#N/A,0.342,0.552,0.728,0.49,1,0.4,1
Seattle,0.810,0.469,0.236,0.468,0.49,1,0.4,1
Mumbai,0.333,0.99,0.372,0.05,0,0.75,0.338,0.75
Buenos Aires,0.606,0.98,0.184,0.28,0.49,0,0.346,0
Pittsburgh,0.762,0,0.178,0.822,0.49,1,0.4,1
Atlanta,0.727,0,0.086,0.633,0.327,1,0.4,1
Dallas,0.732,0.357,0.275,0.846,0.163,1,0.4,1
Denver,#N/A,0.267,0.055,0.799,0.49,1,0.4,1
Detroit,0.693,0.053,0.131,0.893,0.49,1,0.4,1
Kolkata,0.307,0.981,0.072,0,0,1,0.338,1
Johannesburg,0.589,0.876,1,0.563,0.163,0.5,0,0.5
Tampa,#N/A,0.342,0.126,0.704,0.327,1,0.4,1
Houston,0.723,0,0.293,0.704,0.49,1,0.4,1
Perth,0.909,0,0.945,0.633,0.163,0,0.346,0
